更新日時,法人名,活動内容
2024-01-15 14:30:00,株式会社山田商店,新商品の提案を行いました。季節商品のラインナップについてご説明し、春の新商品カタログをお渡ししました。店長から「売れ筋商品を中心に検討したい」とのコメントをいただきました。次回は具体的な発注数量について打ち合わせる予定です。
2024-01-18 10:00:00,鈴木スーパー,在庫状況のヒアリング。現在の売れ筋は飲料と菓子類とのこと。冷蔵設備の増設を検討中で、今後チルド商品の取扱拡大を希望されています。見積書を次回訪問時に持参することになりました。
2024-01-22 15:45:00,佐藤ストア本店,月次定例訪問。先月納品分の売上報告を受領。特に問題なく順調に販売できているとのこと。次月の販促企画について相談を受け、POPやチラシのサンプルをお見せしました。
2024-01-25 13:20:00,田中マート,新規取引の商談。競合他社から切り替えを検討中とのこと。価格面での条件提示を求められたため、社内で検討して回答する旨を伝えました。配送頻度や最小ロットについても確認を受けました。
2024-02-01 09:30:00,株式会社山田商店,前回の続き。春商品の発注をいただきました。合計50万円分のオーダー。配送は2月15日を希望。支払条件は月末締め翌月末払いで合意しました。
2024-02-05 16:00:00,高橋食品館,クレーム対応。納品された商品の一部に賞味期限の近いものが含まれていたとのご指摘。即座に謝罪し、該当商品を引き取り新しいものと交換しました。今後の品質管理徹底を約束しました。
2024-02-08 11:15:00,伊藤ショップ,新店舗オープンの情報を入手。3月に2号店を出店予定とのこと。新店舗への納品について前向きな反応をいただきました。オープニング特別企画の提案書を作成することになりました。
2024-02-12 14:00:00,渡辺商事,定期訪問。売上は前年比105%で推移。夏に向けた商品提案を希望されたため、次回訪問時に夏物カタログを持参することを約束しました。
2024-02-19 10:45:00,中村コンビニ,棚割り変更の相談。当社商品の陳列スペースを拡大したいとの申し出。POSデータを見せていただき、回転率の高い商品を中心に配置する提案をしました。
2024-02-26 13:00:00,小林ドラッグ,季節商品の提案。花粉症対策商品や春の健康食品をご紹介。サンプルをお渡しし、テスト販売を提案しました。結果を見て本格導入を検討するとのことです。